Hairstyle Name,Face Shape (30),Hair Type (20),Hair Density (15),Forehead Size (10),Receding Hairline (10),Skin Color (5),Continent (5),Age Range (5),Status
Crew Cut,"Oval, Square, Round, Diamond","Straight, Wavy, curly"," Thin, Thick, Medium","Medium, Big","Yes, No",Any,Any,18-50,
Quiff,"Oval, Square","Straight, Wavy, Curly","Medium, Thick, Thin",Medium,No,"White, Brown",Any,18-35,
Buzz Cut,"oval, oblong ","Straight, Wavy",Any,Any,"Yes, No",Any,Any,Any,
Undercut,Any,"Straight, Wavy, Curly",Any,Any,Yes,Any,Western,18-35,
Textured Crop,"Round, Oval","Wavy, Curly","Thin, Medium",Medium,"No, Yes",Any,"Europe, Asia",18-35,
"High Top Fade
","Oval, Diamond, square, heart",Any," Thin, Thick, Medium","Medium, Big",Yes," Brown, Black","Africa, North America",Teens-30s,
Layered Medium Cut,"Oval, Heart, rectangular","Straight, Wavy, Curly","Medium, thick",Medium,Yes,"White, Brown",Any,20-40,
Taper Fade,"Square, Heart","Straight, Wavy, Curly"," Thin, Thick, Medium","Small, Medium","Yes, No","White, Brown, Black",Any,18-45,
Side Part,"Oval, square, diamond, heart","Straight, Wavy","Medium, thick",Any,"No, Yes",Any,Any,18-50,
Pompadour,"Square, Oval, Triangle","Straight, Wavy, Curly","Thick, Medium",Big,No,"White, Brown",Any,18-40,
Short Afro,Round,Coily,"Thick, Medium",Any,"Yes, No"," Brown, Black","Africa, North America",Any,
French Crop,Any,"Straight, Wavy, Curly",Any,Any,"No, Yes",Any,"Europe, Asia",18-45,
Messy Fringe,"Oval, Square","Wavy, Curly",Any,Medium,Yes,"White, Brown",Any,18-35,
Slick Back,"round, square, diamond,  oblong ","Straight, Wavy","Medium, Thick","Medium, Big",Yes,Any,Any,18-45,
Mullet,"Oval,  oblong","Straight, Wavy",Medium,Any,Yes,"White, Brown",Any,Any,
Modern Mohawk,"Oval, Square, Round","Wavy, Curly, Coily","Thick, Medium",Any,"No, Yes",Brown,Any,18-35,
Flow Hairstyle,"Oval, Round, Oblong","Wavy, Curly","Thick, Medium","Medium, Big",Yes,"White, Brown",Any,Any,
Middle Part,Any,"Straight, Wavy, Curly","Medium, Thick",Medium,"No, yes","White, Brown",Any,Any,
Fade ,"Oval, Square, Round",Any,"Medium, Thick",Any,Yes,"White, Brown, Black",Any,Any,
Ivy League,"oval, diamond,  triangle","Straight, Wavy","Thick, Medium","Small, Medium",Yes,Any,Western,20-50,
Surfer Hair,"Oval, Round, diamond,  triangle","Wavy, Curly",Any,Any,Yes,"White, Brown",Coastal,Teens-30s,
Edgar cut,"oval, square ","Straight, Wavy","Thick, Medium",Any,No,Brown,"North America, Asia",Teens-30s,
Hard Part,"Round, Oval","Straight, Wavy","Medium, Thick",Medium,No,Any,Middle east,20-50,
Soft Waves,"Oval, round, square ",Wavy,Medium,Any,No,"White, Brown",Any,20-40,
Faux Hawk,"Oval, Square, Round","Straight, Wavy, Curly",Any,"Small, Medium, Big",Yes,Any,Any,18-40,
Temple Fade,"Oval, Square, Diamond","Straight, Wavy, Curly",Any,Any,yes,Any,Any,18-40,
Burst Fade,"Oval, diamond, rectangle, square","Straight, Wavy, Curly","Medium, Thick","Medium, Big",Yes," Brown, Black",Africa,18-40,
Curtains,Any,"Straight, Wavy, curly","Thick, Medium",Any,"No,yes","White, Brown","Western, Asia",18-40,
Comb Over,"oval, oblong, square","Straight, Wavy","Medium, Thick, thin","Medium, Big","Yes, No",Any,Any,18-50,
Spiky Hair,"Round, oval, oblong, diamond","Straight, Wavy","Medium, Thick","Small, Medium, Big",Yes,Any,Any,18-40,
Messy Hair,"Oval, Square, Triangle, heart","Straight, Wavy, Curly","Medium, Thick","Medium, Big",Yes,Any,Any,18-40,
Wolf Cut,"Oval, Square, Heart",Any,"Thick, Medium",Any,Yes,"White, Brown",Western,18-30,
Modern Mullet,Any,"Straight, Wavy, Curly","Medium , Thick",Any,yes,Any,Any,16-40,
Flow Middle Part,"Oval, Heart","Straight, Wavy","Medium , Thick",Small to Medium,No,"White, Brown",Any,15-35,
"Dream Flow
","oval, rectangular ","Wavy, Curly","medium, Thick",Medium to Large,Yes,Any,Any,16-40,
Textured Fringe,"Round, Oval, Square, rectangle","Straight, Wavy, Curly",Any,Small to Medium,Yes,Brown,Any,15-35,
Messy Bun,"Oval, Square, Heart, Round","Wavy, Curly",Thick,Any,Yes,Any,Any,18-40,
Brow Flow,"round, square, oval ","Straight, Wavy, Curly","Medium, Thick",Medium to Large,No,Any,Any,15-35,
Shaggy Haircut,"Oval,  oblong","Straight, Wavy, curly","Medium, Thick","Medium, big",yes,"White, Brown",Any,15-40,
Dreadlocks,"Round, Oval, Square","Curly, Coily",Thick,Any,no,Any,Africa,18-50,
Twists,"oval, square,  rectangle","Curly, Coily","Medium , Thick",Any,No,"Black, brown",Africa,18-45,
Messy Waves,"oval, square, diamond","Wavy, Curly","Medium, Thick","Medium, big","no, yes",Any,Any,18-45,
Curly Undercut,"Square, Round, Oval","Curly, Coily","Medium, Thick",Small to Medium,"no, yes"," Brown, Black",Middle East,18-40,
Curly Fringe,"oval, square,  heart","Curly, Wavy","Medium, Thick",Small to Medium,"no, yes"," Brown, Black",Any,16-40,
Shoulder-Length Waves,"Oval, Round","Wavy, Curly","Medium, Thick",Any,No,Any,Any,18-45,
Ponytail,Any,"Straight, Wavy",Medium to Thick,"medium, large",no,Any,Any,18-50,
Man Bun,"Oval, Square, Diamond","Straight, Wavy","Thin, Medium, Thick",Any,Yes,Any,Any,20-45,
Wavy Brush Back,"Oval, Heart, Square","Wavy, Straight","Medium, thick",Medium to Large,yes,Brown,Any,18-50,
Butch Cut,"Oval, Square, Round",Any,Any,"medium, large",Yes,Any,Any,Any,
